"año";"sector";"actividad";"subactividad";"categoria";"id_ipcc";"tipo_de_gas";"valor_en_toneladas_de_co2e"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.22"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.90"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.76"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.57"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.78"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.30"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.99"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.59"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"3.96"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.37"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.77"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.23"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.35"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.96"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.02"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.06"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.93"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.09"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.05"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.66"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"6.79"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"6.33"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"7.09"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"4.91"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CO2";"5.47"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"CH4";"0.00"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.01"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
